"Computer Name","IP Address","OS","CPU","Last Report Time"
"247TRAPC008","172.25.107.11","Win10 10.0.17134.885 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 18:12:07 +0000"
"247TRAPC007","172.25.107.59","Win10 10.0.17134.885 (1803)","3000 MHz Core i5-4590S","Tue, 05 Nov 2019 18:12:26 +0000"
"247TRAPC006","172.25.107.75","Win10 10.0.17134.885 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 18:08:47 +0000"
"247TRAPC005","172.25.107.26","Win10 10.0.17134.885 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 18:12:47 +0000"
"247TRAPC004","172.25.107.55","Win10 10.0.17134.885 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 18:13:47 +0000"
"247TRAPC003","172.25.107.86","Win10 10.0.17134.829 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 18:12:49 +0000"
"247TRAPC002","172.25.107.30","Win10 10.0.17134.885 (1803)","3000 MHz Core i5-4590S","Tue, 05 Nov 2019 18:15:20 +0000"
"247TRAPC009","172.25.107.70","Win10 10.0.17134.885 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 18:13:58 +0000"
"243THCPC012","10.64.72.163","Win7 6.1.7601","3000 MHz Core i5-4590S","Tue, 05 Nov 2019 18:04:37 +0000"
"246ITSLT027","172.16.3.1
10.74.9.210","Win10 10.0.18362.357 (1903)","2000 MHz Ryzen 5 PRO 2500U w/ Radeon Vega Mobile Gfx","Tue, 05 Nov 2019 18:10:39 +0000"
"246ITSLT025","10.74.8.18","Win10 10.0.17134.1009 (1803)","2300 MHz Core i5-5300U","Tue, 05 Nov 2019 17:52:33 +0000"
"246ITSLT002","172.16.7.126","Win10 10.0.17134.1009 (1803)","2000 MHz Ryzen 5 PRO 2500U w/ Radeon Vega Mobile Gfx","Tue, 05 Nov 2019 18:15:40 +0000"
"246ITSLT001","172.16.7.111
10.74.8.67","Win10 10.0.17134.1009 (1803)","2800 MHz Core i7-6600U","Tue, 05 Nov 2019 17:46:55 +0000"
"245IMCPC990","172.19.32.124","Win7 6.1.7601","3300 MHz Core i5-4590","Tue, 05 Nov 2019 18:06:44 +0000"
"245IMCPC007","172.19.32.26","Win7 6.1.7601","3300 MHz Core i5-4590","Tue, 05 Nov 2019 18:12:27 +0000"
"245IMCPC006","172.19.32.18","Win7 6.1.7601","3300 MHz Core i5-4590","Tue, 05 Nov 2019 17:51:03 +0000"
"245IMCPC005","172.19.32.59","Win7 6.1.7601","3300 MHz Core i5-4590","Tue, 05 Nov 2019 17:32:53 +0000"
"245IMCPC004","172.19.32.104","Win7 6.1.7601","3300 MHz Core i5-4590","Tue, 05 Nov 2019 17:17:10 +0000"
"246ITSLT003","172.16.3.186","Win10 10.0.17134.1 (1803)","1900 MHz Core i5-8350U","Wed, 30 Oct 2019 15:58:03 +0000"
"245IMCPC003","172.19.32.19","Win7 6.1.7601","2900 MHz Core i5-4570S","Tue, 05 Nov 2019 17:39:35 +0000"
"244NGPLT004","172.19.172.200
192.168.1.134","Win7 6.1.7601","2300 MHz Core i5-5300U","Mon, 04 Nov 2019 19:15:11 +0000"
"244NGPLT003","172.16.1.208
172.24.208.232","Win7 6.1.7601","2300 MHz Core i5-5300U","Tue, 05 Nov 2019 17:27:25 +0000"
"244NGPLT001","172.16.5.169","Win7 6.1.7601","2300 MHz Core i5-5300U","Tue, 05 Nov 2019 17:58:56 +0000"
